author_rank,author_name,author_key,inspire_author_recid,author_type,paper_count,frontier_count,frontiers,first_year,last_year,citable_paper_count,total_citations_on_coauthored_papers,mean_citations_on_coauthored_papers,max_citations_on_coauthored_papers
1230,"Meyer, Aaron S.",INSPIRE:1480833,1480833,individual,3,6,CF | CompF | EF | NF | RPF | TF,2022,2022,3,177,59.0,101
1231,"Seidel, S.",INSPIRE:989433,989433,individual,3,6,AF | EF | IF | NF | RPF | TF,2022,2022,3,177,59.0,166
1232,"Rajendran, Surjeet",INSPIRE:1051391,1051391,individual,3,3,CF | IF | RPF,2022,2022,3,173,57.666666666666664,136
1233,"Sierra, Carlos Vazquez",INSPIRE:1262658,1262658,individual,3,4,CompF | EF | RPF | TF,2022,2022,3,170,56.666666666666664,86
1234,"Dyshkant, A.S.",INSPIRE:1011108,1011108,individual,3,4,CF | IF | NF | RPF,2022,2022,3,169,56.333333333333336,82
1235,"Francis, K.",INSPIRE:1049673,1049673,individual,3,4,CF | IF | NF | RPF,2022,2022,3,169,56.333333333333336,82
1236,"Benedikt, M.",INSPIRE:1016772,1016772,individual,3,5,AF | EF | NF | RPF | TF,2019,2022,3,168,56.0,80
1237,"Rodriguez Rondon, J.",INSPIRE:1873506,1873506,individual,3,4,CF | IF | NF | RPF,2022,2022,3,168,56.0,82
1238,"Stratakis, D.",INSPIRE:1058749,1058749,individual,3,4,AF | EF | RPF | TF,2022,2022,3,167,55.666666666666664,114
1239,"Gelmini, Graciela B.",INSPIRE:1008653,1008653,individual,3,2,CF | CompF,2022,2022,3,163,54.333333333333336,132
1240,"Furmanski, Andrew",INSPIRE:1259749,1259749,individual,3,4,CF | IF | NF | RPF,2022,2022,3,159,53.0,82
1241,"Ghosh, Tathagata",INSPIRE:1297333,1297333,individual,3,4,EF | NF | RPF | TF,2022,2022,3,159,53.0,142
1242,"Berger, Joshua",INSPIRE:1064700,1064700,individual,3,5,CF | IF | NF | RPF | TF,2022,2022,3,157,52.333333333333336,89
1243,"Bolognesi, S.",INSPIRE:1056368,1056368,individual,3,5,CF | IF | NF | RPF | TF,2022,2022,3,155,51.666666666666664,82
1244,"Klustova, A.",INSPIRE:1839790,1839790,individual,3,5,CF | IF | NF | RPF | TF,2022,2022,3,155,51.666666666666664,82
1245,"Lux, T.",INSPIRE:1032469,1032469,individual,3,5,CF | IF | NF | RPF | TF,2022,2022,3,155,51.666666666666664,82
1246,"McFarland, K.S.",INSPIRE:998078,998078,individual,3,5,CF | IF | NF | RPF | TF,2022,2022,3,155,51.666666666666664,82
1247,"Norrick, A.",INSPIRE:1074927,1074927,individual,3,5,CF | IF | NF | RPF | TF,2022,2022,3,155,51.666666666666664,82
1248,"Bertolucci, S.",INSPIRE:1016524,1016524,individual,3,5,CF | EF | IF | NF | RPF,2022,2022,3,153,51.0,82
